"se.sawano.eureka:legacy-registrar","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/se.sawano.eureka:legacy-registrar"
"org.terrakube.terraform:terraform-spring-boot-autoconfigure","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.terrakube.terraform:terraform-spring-boot-autoconfigure"
"nl.axians:axians-opentelemetry-spring-boot-starter","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/nl.axians:axians-opentelemetry-spring-boot-starter"
"com.geetask:chunked-uploader","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.geetask:chunked-uploader"
"net.distilledcode:filevault-oak-reindex-hook","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.distilledcode:filevault-oak-reindex-hook"
"org.java-websocket:Java-WebSocket","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.java-websocket:Java-WebSocket"
"com.github.doobo:openpdf-ivs","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.doobo:openpdf-ivs"
"com.github.robtimus:obfuscation-json","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.robtimus:obfuscation-json"
"com.s24:redjob","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.s24:redjob"
"org.sourcelab:kafka-webview-ui","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.sourcelab:kafka-webview-ui"
"io.github.hiskrtapps:apocalypse-dao-springjdbc","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.hiskrtapps:apocalypse-dao-springjdbc"
"net.cactusthorn.config:jasypt","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.cactusthorn.config:jasypt"
"nl.hsac:hsac-fitnesse-email","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/nl.hsac:hsac-fitnesse-email"
"cz.alry:plantuml-maven-plugin","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/cz.alry:plantuml-maven-plugin"
"com.charlyghislain.authenticator:authenticator-application-api","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.charlyghislain.authenticator:authenticator-application-api"
"media.pepperpot.tca:tomcat-jwt-authenticator","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/media.pepperpot.tca:tomcat-jwt-authenticator"
"ch.rasc:wampspring","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/ch.rasc:wampspring"
"com.github.bartlomiej-gora:RPNLibrary","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.bartlomiej-gora:RPNLibrary"
"be.idamediafoundry.sofa:mapper-api","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/be.idamediafoundry.sofa:mapper-api"
"se.sawano.eureka:legacy-registrar","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/se.sawano.eureka:legacy-registrar"
"io.probedock.rt.client:probedock-rt-itf","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.probedock.rt.client:probedock-rt-itf"
"org.ibboost.orqa:orqa-maven-plugin","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.ibboost.orqa:orqa-maven-plugin"
"com.github.usc:wechat-mp-sdk","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.usc:wechat-mp-sdk"
"org.jmdware:s3-bucket-recursor","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.jmdware:s3-bucket-recursor"
"org.graphfoundation.ongdb:ongdb-geequel-slotted-runtime","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.graphfoundation.ongdb:ongdb-geequel-slotted-runtime"
"org.slieb:html-exception-formatter","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.slieb:html-exception-formatter"
"org.sentrysoftware.maven:maven-skin-tools","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.sentrysoftware.maven:maven-skin-tools"
"com.qualizeal.community:layouts","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.qualizeal.community:layouts"
"de.jpdigital:hibernate6-ddl-maven-plugin-core","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.jpdigital:hibernate6-ddl-maven-plugin-core"
"com.datadoghq:java-dogstatsd-client","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.datadoghq:java-dogstatsd-client"
"com.squareup.pagerduty:pagerduty-incidents","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.squareup.pagerduty:pagerduty-incidents"
"de.enlightened:sql-enum-generator-maven-plugin","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.enlightened:sql-enum-generator-maven-plugin"
"com.qdesrame:openapi-diff","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.qdesrame:openapi-diff"
"ru.r2cloud:rotctrldClient","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/ru.r2cloud:rotctrldClient"
"uk.co.rgordon:oj-ant","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/uk.co.rgordon:oj-ant"
"org.eclipse.esmf:esmf-aspect-meta-model-interface","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.eclipse.esmf:esmf-aspect-meta-model-interface"
"me.kingjan1999.fhdw:alphacamunda","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/me.kingjan1999.fhdw:alphacamunda"
"at.makubi.maven.plugin:avrohugger-maven-plugin","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/at.makubi.maven.plugin:avrohugger-maven-plugin"
"org.antframework.sync:sync","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.antframework.sync:sync"
"de.flapdoodle.reverse:de.flapdoodle.reverse","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.flapdoodle.reverse:de.flapdoodle.reverse"
"com.spotify:confidence-openfeature-provider","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.spotify:confidence-openfeature-provider"
"org.terrakube.terraform:terraform-spring-boot-autoconfigure","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.terrakube.terraform:terraform-spring-boot-autoconfigure"
"nl.axians:axians-opentelemetry-spring-boot-starter","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/nl.axians:axians-opentelemetry-spring-boot-starter"
"com.geetask:chunked-uploader","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.geetask:chunked-uploader"
"net.distilledcode:filevault-oak-reindex-hook","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.distilledcode:filevault-oak-reindex-hook"
"org.java-websocket:Java-WebSocket","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.java-websocket:Java-WebSocket"
"com.github.doobo:openpdf-ivs","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.doobo:openpdf-ivs"
"com.github.robtimus:obfuscation-json","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.robtimus:obfuscation-json"
"com.s24:redjob","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.s24:redjob"
"org.sourcelab:kafka-webview-ui","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.sourcelab:kafka-webview-ui"
"io.github.hiskrtapps:apocalypse-dao-springjdbc","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.hiskrtapps:apocalypse-dao-springjdbc"
"net.cactusthorn.config:jasypt","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.cactusthorn.config:jasypt"
"nl.hsac:hsac-fitnesse-email","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/nl.hsac:hsac-fitnesse-email"
"cz.alry:plantuml-maven-plugin","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/cz.alry:plantuml-maven-plugin"
"com.charlyghislain.authenticator:authenticator-application-api","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.charlyghislain.authenticator:authenticator-application-api"
"media.pepperpot.tca:tomcat-jwt-authenticator","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/media.pepperpot.tca:tomcat-jwt-authenticator"
"ch.rasc:wampspring","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/ch.rasc:wampspring"
"com.github.bartlomiej-gora:RPNLibrary","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.bartlomiej-gora:RPNLibrary"
"be.idamediafoundry.sofa:mapper-api","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/be.idamediafoundry.sofa:mapper-api"
"se.sawano.eureka:legacy-registrar","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/se.sawano.eureka:legacy-registrar"
"org.terrakube.terraform:terraform-spring-boot-autoconfigure","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.terrakube.terraform:terraform-spring-boot-autoconfigure"
"nl.axians:axians-opentelemetry-spring-boot-starter","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/nl.axians:axians-opentelemetry-spring-boot-starter"
"com.geetask:chunked-uploader","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.geetask:chunked-uploader"
"net.distilledcode:filevault-oak-reindex-hook","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.distilledcode:filevault-oak-reindex-hook"
"org.java-websocket:Java-WebSocket","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.java-websocket:Java-WebSocket"
"com.github.doobo:openpdf-ivs","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.doobo:openpdf-ivs"
"com.github.robtimus:obfuscation-json","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.robtimus:obfuscation-json"
"com.s24:redjob","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.s24:redjob"
"org.sourcelab:kafka-webview-ui","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.sourcelab:kafka-webview-ui"
"io.github.hiskrtapps:apocalypse-dao-springjdbc","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.hiskrtapps:apocalypse-dao-springjdbc"
"net.cactusthorn.config:jasypt","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.cactusthorn.config:jasypt"
"nl.hsac:hsac-fitnesse-email","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/nl.hsac:hsac-fitnesse-email"
"cz.alry:plantuml-maven-plugin","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/cz.alry:plantuml-maven-plugin"
"com.charlyghislain.authenticator:authenticator-application-api","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.charlyghislain.authenticator:authenticator-application-api"
"media.pepperpot.tca:tomcat-jwt-authenticator","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/media.pepperpot.tca:tomcat-jwt-authenticator"
"ch.rasc:wampspring","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/ch.rasc:wampspring"
"com.github.bartlomiej-gora:RPNLibrary","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.bartlomiej-gora:RPNLibrary"
"be.idamediafoundry.sofa:mapper-api","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/be.idamediafoundry.sofa:mapper-api"
"se.sawano.eureka:legacy-registrar","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/se.sawano.eureka:legacy-registrar"
"io.probedock.rt.client:probedock-rt-itf","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.probedock.rt.client:probedock-rt-itf"
"org.ibboost.orqa:orqa-maven-plugin","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.ibboost.orqa:orqa-maven-plugin"
"com.github.usc:wechat-mp-sdk","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.usc:wechat-mp-sdk"
"org.jmdware:s3-bucket-recursor","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.jmdware:s3-bucket-recursor"
"org.graphfoundation.ongdb:ongdb-geequel-slotted-runtime","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.graphfoundation.ongdb:ongdb-geequel-slotted-runtime"
"org.slieb:html-exception-formatter","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.slieb:html-exception-formatter"
"org.sentrysoftware.maven:maven-skin-tools","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.sentrysoftware.maven:maven-skin-tools"
"com.qualizeal.community:layouts","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.qualizeal.community:layouts"
"de.jpdigital:hibernate6-ddl-maven-plugin-core","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.jpdigital:hibernate6-ddl-maven-plugin-core"
"com.datadoghq:java-dogstatsd-client","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.datadoghq:java-dogstatsd-client"
"com.squareup.pagerduty:pagerduty-incidents","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.squareup.pagerduty:pagerduty-incidents"
"de.enlightened:sql-enum-generator-maven-plugin","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.enlightened:sql-enum-generator-maven-plugin"
"com.qdesrame:openapi-diff","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.qdesrame:openapi-diff"
"ru.r2cloud:rotctrldClient","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/ru.r2cloud:rotctrldClient"
"uk.co.rgordon:oj-ant","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/uk.co.rgordon:oj-ant"
"org.eclipse.esmf:esmf-aspect-meta-model-interface","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.eclipse.esmf:esmf-aspect-meta-model-interface"
"me.kingjan1999.fhdw:alphacamunda","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/me.kingjan1999.fhdw:alphacamunda"
"at.makubi.maven.plugin:avrohugger-maven-plugin","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/at.makubi.maven.plugin:avrohugger-maven-plugin"
"org.antframework.sync:sync","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.antframework.sync:sync"
"de.flapdoodle.reverse:de.flapdoodle.reverse","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.flapdoodle.reverse:de.flapdoodle.reverse"
"com.spotify:confidence-openfeature-provider","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.spotify:confidence-openfeature-provider"
"org.terrakube.terraform:terraform-spring-boot-autoconfigure","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.terrakube.terraform:terraform-spring-boot-autoconfigure"
"nl.axians:axians-opentelemetry-spring-boot-starter","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/nl.axians:axians-opentelemetry-spring-boot-starter"
"com.geetask:chunked-uploader","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.geetask:chunked-uploader"
"net.distilledcode:filevault-oak-reindex-hook","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.distilledcode:filevault-oak-reindex-hook"
"org.java-websocket:Java-WebSocket","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.java-websocket:Java-WebSocket"
"com.github.doobo:openpdf-ivs","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.doobo:openpdf-ivs"
"com.github.robtimus:obfuscation-json","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.robtimus:obfuscation-json"
"com.s24:redjob","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.s24:redjob"
"org.sourcelab:kafka-webview-ui","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.sourcelab:kafka-webview-ui"
"io.github.hiskrtapps:apocalypse-dao-springjdbc","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.hiskrtapps:apocalypse-dao-springjdbc"
"net.cactusthorn.config:jasypt","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.cactusthorn.config:jasypt"
"nl.hsac:hsac-fitnesse-email","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/nl.hsac:hsac-fitnesse-email"
"cz.alry:plantuml-maven-plugin","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/cz.alry:plantuml-maven-plugin"
"com.charlyghislain.authenticator:authenticator-application-api","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.charlyghislain.authenticator:authenticator-application-api"
"media.pepperpot.tca:tomcat-jwt-authenticator","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/media.pepperpot.tca:tomcat-jwt-authenticator"
